gym_name,address,phone_number
Escalade Rock Climbing Gym,"3694 Kennesaw South Industrial Drive, Suite B, Kennesaw, Georgia 30144",7707941575
Escalade Rock Climbing PTC,"125 Depot Court, Peachtree City, Georgia 30269",6788701400
Georgia Southern University Climbing Wall,"P.O. Box 8078 Akins Blvd, Statesboro, Georgia 30460",9124867227
Life Time Fitness - Johns Creek,"11555 Johns Creek Pkwy, Georgia",7704957800
Lifetime Fitness Climbing Gym,"14200 Highway 92, Woodstock, Georgia 30188",7709267544
Macon Rocks Climbing Gym,"527 D T Walton Sr Way, Macon, Georgia 31201",4789540151
Middle Georgia College Wellness Center,"1100 Second Street Se, Cochran, Georgia 31014",
Midtown Athletic Club at Windy Hill,"135 Interstate North Parkway, Atlanta, Georgia 30339",7709531100
Outdoor Recreation at Georgia Tech - Climbing Wall,"750 Ferst Drive Nw, Atlanta, Georgia 30332",4043851374
Savannah Climbing CoOp,"302 W Victory Dr, Suite D, Savannah, Georgia 31405",9124958010
Stone Summit Atlanta,"3701 Presidential Parkway, Atlanta, Georgia 30338",6787209882
Stone Summit Atlanta Bouldering,"3176 Marjan Dr, Atlanta, Georgia 30340",4703954588
Stone Summit Kennesaw,"2801 George Busbee Parkway, Kennesaw, Georgia 30144",7705456227
Stone Summit Midtown,"715 Peachtree Street Ne, Lower Level Atlanta, Georgia 30308",4704812030
The Climb& 8217 n Shop,"496 Bankhead Hwy., Carrollton, Georgia 30117",
The Overlook Boulder + Fitness,"1030 White St Sw, Atlanta Georgia 30310",6789732460
The Overlook Bouldering + Fitness,"1030 White St Sw, Atlanta, Georgia 30310",6789732460
Treadstone Columbus,"4209 Milgen Rd., Ste 7, Columbus, Georgia 31907",7065077625
University of Georgia Climbing Wall,"Department Of Recreational Sports, 201 Ramsey Student Center For Physical Activities, Athens, Georgia 30602-6520",7065425060
University of West Georgia Climbing Wall,"1601 Maple St. Carrollton, Georgia 30118",
Valdosta State University,"1300 Sustella Ave., Valdosta, Georgia 31698",2293335898
Wall Crawler Rock Club,"1522 Dekalb Ave. Atlanta, Georgia 30307",4043718997
Big Island Climbing,"126 Keawe St. , Hilo, Hawaii 96720",8084912582
HiClimb,"825 Ilaniwai St, Honolulu, Hawaii 96813",8088882999
Kona Cliffs,"74-5617 Pawai Pl Bay H, Kailua-Kona, Hawaii 96740",8087073019
Oahu Bouldering Gym,"94-503 Uke?e Street Unit 405-406, Waipahu, Hawaii 96797",8086005560
Volcanic Rock Gym,"161 Hamakua Drive Kailua, Hawaii 96734",8082616160
Asana Climbing Gym,"Chinden Blvd. And W. 33Rd St., Garden City Near Boise, Idaho 83714",2083457625
Boise Rock Gym,"1875 Century Way, Boise, Idaho 83709",2083763641
Boise State University Rock Climbing Wall,"1910 University Drive, Boise, Idaho 83725",2083851374
Caldwell Family YMCA,"3720 South Indiana Avenue, Caldwell, Idaho 83605",208454YMCA
Coeur Climbing Company,"764 S. Clearwater Loop, Suite 101 Post Falls, Idaho 83854",2087779253
Downtown YMCA,"1050 West State Street, Boise, Idaho 83702",2083445501
Gemstone Climbing Center,"135 5Th Ave. S. Twin Falls, Idaho, Usa",2083297257
Idaho State University Climbing Wall,"Reed Gym, Corner Of Memorial Dr And Mlk Jr Way, 741 S 7Th Ave, Pocatello, Idaho 83201",2082823912
Kroc Center Climbing Wall,"1765 W Golf Course Rd., Coeur D'Alene, Idaho 83815",2087630594
North Idaho College Climbing Wall,"1000 W. Garden Ave. Coeur D'Alene, Idaho 83814",2087695939
Regional Rock Walls,"871 Jet Stream Drive, 83440, Rexburg, Idaho",2082529973
Sandpoint Rock Gym,"522 Church St., Sandpoint Idaho 83864",2089466526
Savage Strong Fitness,"115 S Andrews St, Salmon, Idaho 83467",2087568448
Sticks and Stones,"49 E Main St, Rexburg, Idaho 83440",2083567116
Stonewalls Rock Gym,"751 S. Capitol Ave, Idaho Falls, Idaho 83402",
Teton Rock Gym,"60 S. Main St., Ste. 350 Driggs, Idaho 83422",2083541046
The Commons Climbing Gym,"4795 W Emerald St, Boise, Idaho 83706",2085067784
The Edge Climbing and Fitness,"2844 14Th N, Ammon, Idaho 83401, Usa",2085527625
The Rock Gym Rexburg,"871 Jet Stream Dr. Rexburg, Idaho 83440",2082529973
University of Idaho Climbing Wall,"Student Recreation Center, 1000 Paradise Creek St, Po Box 441230, Moscow, Idaho",2088856810
vertical View,"1334 E Bird Dog Dr, Meridian, Idaho 83642",2088845611
West Family YMCA,"5959 N Discovery Way, Boise, Idaho 83713",2083779622
Wood River YMCA,"101 Saddle Road, Ketchum, Idaho 83340",2087279622
Annerino Center wall,"Located Inside Annerino Center, 201 Recreation Drive, Bolingbrook, Illinois 60440",6307390272
B.R.Ryall YMCA,"49 Deicke Dr., Glen Ellyn. Illinois",6308580100
Broadway Armory,"5910 N Broadway, Chicago, Illinois 60640",
Brooklyn Boulders Chicago,"100 South Morgan Street Chicago, Illinois 60607",3122680002
Cahokia Area YMCA Climbing Wall,"509 Camp Jackson Road, Cahokia, Illinois 62206",6183372217
Climb On,"18120 Harwood Avenue, Homewood, Illinois 60430",7087989994
Climbing Wall,"Prairie Stone Sports & Wellness Center, 5050 Sedge Blvd, Hoffman Estates, Illinois 60192",8476451900
Climbing Wall and Roof,"Office Of Intramural-Recreational Sports, Southern Illinois University, Carbondale, Illinois",6184531285
Decatur Indoor Sports Center (DISC),"1295 West Wood St, Decatur, Illinois 62522",2174293472
Downtown Belleville YMCA climbing wall,"200 South Illinois Street, Belleville, Illinois 62220",6182331243
Evanston Athletic Club,"1723 Benson Ave, Evanston, Illinois 60204",8478666190
First Ascent - Arlington Heights,"3400 W Stonegate Blvd, Arlington Heights, Illinois 60005",2247357150
First Ascent - Block 37,"108 N State St, 4Th Floor, Chicago, Illinois 60602",3122852337
First Ascent - Humboldt Park,"2950 W Grand Ave, Chicago, Illinois 60622",7736979743
First Ascent - Peoria,"927 Sw Washington St, Peoria, Illinois 61602",3099660831
First Ascent - Uptown,"4718 N Broadway, Chicago, Illinois 60640",7732751212
First Ascent Avondale,"3516 N Spaulding Ave Chicago, Illinois 60618",7735649815
"Gurnee Park District, Hunt Club Park Community Center","920 N. Hunt Club Road, Gurnee, Illinois 60031",8476237788
Hidden Peak Climbing Gym,"937 W. Chestnut, Chicago, Illinois 60622",3125639400
Lakeshore Athletic Club-Illinois Center,"211 N Stetson, Chicago, Illinois 60601",3126169000
Latof YMCA - Adventure Center,"300 East Northwest Highway, Des Plaines, Illinois 60016",8472963376
Libertyville Sports Complex,"1950 N. Highway 45, Libertyville, Illinois 60048",8473671502
Life Time Climb,"28141 Diehl Road, Warrenville, Illinois 60555",6307912283
Lifetime Fitness,"5300 Old Orchard Road, Skokie, Illinois 60077",8474708600
Lifetime Fitness,"1220 Lakeview Drive, Romeoville, Illinois 60446",6307599995
Lifetime Fitness,"455 Scott Drive, Bloomingdale, Illinois 60108",6305824100
Lifetime Fitness Climbing Wall,"451 Rolls Drive, Algonquin, Illinois 60102",8474586200
Lifetime Fitness Climbing Wall,"16333 S. Lagrange Rd., Orland Park, Illinois 60467",
Lifetime Fitness Climbing Wall,"900 East Higgins Rd., Schaumburg, Illinois 60173",8475177171
Lifetime Fitness Climbing Wall,"150 Bridewell Drive, Burr Ridge, Illinois 60521",6302300011
Lincoln Park Athletic Club,"1019 W. Diversey, Chicago, Illinois 60614",7735292022
Metro Sports,"2300 N. Henry St, Alton, Illinois 62002",
Movement Lincoln Park,"1460 N Dayton St Chicago, Illinois 60642",3125794454
Movement Wrigleyville,"1115 W Addison St Chicago, Illinois 60613",8728179815
North Wall,"824 South Main Street, Crystal Lake, Illinois 60014",8153566855
O'Fallon YMCA Climbing Wall,"284 North Seven Hills Road, O'Fallon, Illinois 62269",6186287701
Oak Park Formula Fitness Club,"1114 Lake Street, Oak Park, Illinois 60301",7083831114
Off Belay Rock Club,"1907 N Mendell, 4Th Floor, Chicago, Illinois, 60642",7739970327
Old Town Indoor Rock Climbing,"1235 North Lasalle, Chicago, Illinois 60610",3126401235
Outdoor Center - YMCA of Southwest Illinois,"2437 Park Road, Belleville, Illinois 62220",6182339485
Rockaway Climbing wall,"108 First St., Batavia, Illinois 60510",
South Suburban Cheer and Tumbling,"1329 Commerce Drive, Crete, Illinois, 60417",
Southern Illinois University Edwardsville Climbing Wall,"Vadalabene Center, Edwardsville, Illinois 62026",6186502348
Sportsplex,"14700 Ravinia Avenue, Orland Park, Illinois 60462",708645PLAY
Springfield Racquet & Fitness Center,"3725 Chatham Road, Springfield, Illinois 62704",2177872460
The Centre of Elgin,"100 Symphony Way, , Elgin, Illinois 60120",8475317000
The Proving Ground Bouldering Gym,"1503 E College Ave. Normal, Illinois 61761",3098080309
University of Illinois Activities & Recreation Center,"201 East Peabody Drive, Champaign, Illinois 61820",2173333806
University of Illinois at Chicago Climbing Wall,"Student Recreation Facility, 737 S. Halsted St., Chicago, Illinois 60607",3124135150
Upper Limits Inc.,"1304 West Washington, Bloomington, Illinois 61701, (309) 829-8255",8009647814
Urbana Boulders,"1502 N Cunningham Ave, Urbana, Illinois, 61802",
Vertical Endeavors - Glendale Heights,"246 Windy Point Drive Glendale Heights, Illinois 60139",6307849000
Xsport Fitness,"230 W. North Avenue , Chicago, Illinois 60610",3129329100
XSport Fitness,"819 South State Street, Chicago, Illinois 60605",3122940500
YMCA of Rock River Valley,"200 Y Blvd., Rockford, Illinois 61107",8159872252
Apex Climbing Gym,"5505 Grape Road Mishawaka, Indiana 46545",
Ball State University Indoor Climbing Wall,"Recreation Services Ball State University, 1700 Neely Avenue, Srwc 201A Muncie, Indiana 47306",7652851753
Climb Lafayette,"4650 Dale Drive, Lafayette, Indiana 47905",7655327752
Climb Time Indy,"8750 Corporation Dr., Indianapolis, Indiana 46256",3175963330
Columbus Rock Gym,"1551 Cottage Ave, Columbus, Indiana 47201",8127993193
Earth Adventures Unlimited,"1804 West Main, Ft Wayne, Indiana 46808",2064241420
EPIC Climbing and Fitness,"1931 Stout Field W Dr, Indianapolis, In 46241",3172471931
France A. Córdova Recreational Sports Center,"355 N Martin Jischke Dr, West Lafayette, In 47906",7654943109
Goshen College Rec Center,"1700 S. Main Street, Goshen, Indiana 46526",5745357500
Hoosier Heights,"1008 South Rogers St, Bloomington, Indiana 47401",8128246414
Hoosier Heights (Indianapolis),"9850 Mayflower Park Drive, Carmel, In 46032",3178029302
Indiana University Outdoor Adventures,"1900 East 10Th Street, Room 020, Bloomington, Indiana",8128552231
Kosciusko Community YMCA,"1401 E. Smith St., Warsaw, Indiana 46580",5742699622
Kroc Corps Community Center South Bend,"900 W. Western Ave South Bend, In 46601",5742339471
Lifetime Fitness Climbing Wall,"8705 Castle Creek Parkway, Indianapolis, Indiana 46250",3179153521
North Mass Boulder,"1411 Roosevelt Ave, Indianapolis, Indiana 46201",3179536667
University of Notre Dame Climbing Gym,"Duncan Student Center, Notre Dame, Indiana 46556",3306002862
Vertical Challenge,"Northwest Ymca, 3500 Chadam Lane, Muncie, Indiana 47304",7652860818
Vertical eXcape,"1315 N. Royal Ave, Evansville, Indiana 47715",8124796887
Climb Iowa,"3605 Se Miehe Drive, Grimes, Iowa 50111",5159862565
Climb Iowa East Village,"150 E 4Th St, Des Moines, Iowa 50309",5152442565
Iowa State - Lied Rec Center,"2220 State Gym, Ames, Iowa 50011, Iowa State University",5152942929
Long Lines Family Recreation Center,"401 Gordon Drive, Sioux City, Iowa 51102",7122245125
Luther College Climbing Wall,"Regents Center, Luther College, 700 College Dr, Decorah, Iowa 52101",5633871820
Maharishi International University,"Maharishi University Of Management, Fairfield, Iowa 52557",6414721112
SportsPlex West,"890 Se Olson Drive, Waukee Iowa 50263",5159870806
State Gym-Iowa State University,"2642 Union Dr. Ames, Iowa 50011-2029",5152946640
The Grotto @ Coe College,"1220 1St Ave Ne, Cedar Rapids Iowa, 52402",
The W at Wartburg College,"100 Wartburg Blvd., Waverly, Iowa 50677",3193528311
University of Iowa,"100 West Burlington Street, Iowa City, Iowa 52242",3193359293
University of Northern Iowa Wellness and Recreation Center,"1223 W. 22Nd Street, Cedar Falls, Iowa 50614-0156",3192737160
Andover YMCA,"1115 E. Us Highway 54, Andover, Kansas 67002",3167339622
Bliss Climbing and Fitness,"11114 E 28Th St N, Wichita, Kansas 67226",3168311479
Climb Lawrence,"714 Vermont St Lawrence, Kansas 66044 United States",7858560394
Dynamic Earth Equipment,"13308 Metcalf Ave., Overland Park, Kansas 66213",9138512244
Emerald City Gymnastics climbing wall,"9063 Bond St. Overland Park, Kansas 66214",9134384444
Genesis Health Club,"1551 N. Rock Rd, Wichita, Kansas 67206",3166340094
Kansas Cliff Club,"4456 S Clifton, Wichita, Kansas 67216",3165222232
KU Rock,"Student Rec & Fitness Center, 1740 Watkins Center Drive, Lawrence, Kansas 66045",7858641820
Life Time Fitness,"16851 West 90Th Street, Lenexa, Kansas 66219",9138882211
Lifetime Fitness,"6800 W. 138Th St., Overland Park, Kansas 66213",9132399000
North YMCA,"3330 N. Woodlawn, Wichita, Kansas",3168589622
Northwest YMCA,"13838 W. 21St Street N., Wichita, Kansas 67235",3162609622
Rec Center - Kansas State University,"1831 Olympic Street, Manhattan, Kansas 66506",7855326980
Rendezvous,"13124 State Line Rd, Leawood, Kansas 66209",
RoKC Olathe,"654 N Central St, Olathe, Kansas 66061",9133183600
RoKC Olathe,"654 N Central St, Olathe, Kansas 66061",9133183600
Washburn University Student Recreation and Wellness Center,"1701 Sw College Ave., Topeka, Kansas 66621",7856701314
White elephant buttress,"203 Hemlock Street Mound City, Kansas, 66056",
Asbury University Climbing Gym,N/A,N/A
ClimbNulu,"1000 E Market St, Louisville, Ky 40206",5025400072
CLYM,"11 Jessie Lane, Somerset, Kentucky 42501",6067740019
Eastern Kentucky University Climbing Wall,"512 Lancaster Ave, Richmond, Kentucky 40475",8596226751
Hester's Family Fitness,"4300 East Blue Lick Road, Louisville, Kentucky",
Johnson Center at UK,"177 Johnson Center, Lexington, Kentucky 40506",8592572898
LEF,"916 N Broadway Lexington, Ky 40505",8595230518
Northern Kentucky University Bouldering Wall,"Northern Kentucky University Nunn Drive | Highland Heights, Kentucky 41099",8595725100
Redpoint,121 Flex Park Drive Suite 2 Bowling Green Ky 42101,2704672601
Redpoint Climbing Center,121 Flex Park Ln. Suite #2,2704672601
Rock Gem,"4300 Blue Lick Rd, Louisville, Ky 40229",5024754367
Rocksport Inc.,"10901 Plantside Dr., Louisville, Kentucky 40241",5022665833
Alexandria Climbing Experience,"2501 N Bolton Ave., Alexandria, Louisiana 71303",3184424177
Lambright Student Rec. Center,"305 Wisteria St, Ruston, Louisiana 71272",3182572000
LSU Recreation Center,"Student Recreation Complex, Baton Rouge, Louisiana 70803",2255788601
New Orleans Boulder Lounge,"2360 St. Claude Ave New Orleans, Louisiana 70117",5049627609
Risen Rock Climbing Gym,"1060 Chinaberry Drive, Bossier City, La",3183931655
Southern Stone Indoor Climbing,"109 Grand Ave, Lafayette, Louisiana 70503",3379818116
Uptown Climbing,"10505 Coursey Boulevard Baton Rouge, Louisiana 70816",2258311117
Alfond Youth Center Rock Wall,"126 North St, Waterville, Maine",
Antigravity Climbing Wall,"5092 Sugarloaf Access Road, Carrabassett Valley, Maine 04947",2072375566
Bath YMCA,"303 Centre St., Bath, Maine 04530",2074434112
Cadillac Mountain Sports / Mt. Desert Island YMCA,"23 Mt. Desert St., Bar Harbor, Maine 04609",
Central Lincoln County YMCA,"525 Main Street, Damariscotta, Maine 04543",2075633477
Climb Bethel,12 North Rd Bethel Maine 04217,2078242309
EVO Rock + Fitness,"65 Warren Ave, Portland, Maine 04103",2077806370
Gentile Hall Rock Wall,"181 Main St., Presque Isle, Maine 04769",2077689785
Maine Bound,"Memorial Union, 5795 Maine Bound Adventure Center, Orono, Maine 04469",2075811794
North American Outdoor Adventure,"Rt 201, West Forks, Maine 04985",2076632201
Penobscot Bay YMCA climbing wall,"116 Union St., Rockport, Maine 04856",2072363375
Russel K. Crouse Memorial Climbing Wall,"Old Town Orono Ymca, 472 Stillwater Ave, Old Town, Maine 04468",2078279622
Salt Pump Climbing Co.,"36 Haigis Parkway, Scarborough, Maine",2072198145
Volta,"8 Road Not Taken, Trenton, Maine 04605",2074120488
Earth Treks - Hampden,"1700 W 41St St #440, Baltimore, Maryland 21211",4107598330
Lifetime Fitness,"7220 Lee Deforest Drive, Columbia, Maryland",4109530022
Movement Columbia,"7125-C Columbia-Gateway Drive, Columbia, Maryland 21046",1800CLIMBU
Movement Rockville,"725 Rockville Pike, Rockville, Maryland 20852",1800CLIMBU
Movement Timonium,"1930 Greenspring Dr., Timonium, Maryland 21093",4105605665
Mt. YMCA at the Cumberland YMCA,"601 Kelly Rd, Cumberland, Maryland 21502",3017779622
Pip Moyer Recreation Center,"273 Hilltop Ln, Annapolis, Maryland 21403",4102637958
Sportrock Rio,"9811 Washingtonian Blvd, Suite 300, Gaithersburg, Maryland 20878",7032127625
St. Mary's College of Maryland Athletics and Recreation Center,N/A,N/A
The Boulder Yard,"5714 Industry Ln Frederick, Maryland 21704",3012289368
The Y of Greater Annapolis,"1209 Ritchie Highway, Arnold, Maryland 21012",4105442525
UMD Adventure Program Climbing Wall,"1115 Eppley Recreation Center, College Park, Maryland 20742",3012264400
YMCA at Stadium Place,"Harry & Jeanette Weinberg Family Center, 900 E. 33Rd St., Baltimore, Maryland 21217",4108899622
"YMCA of the Chesapeake, Inc.","202 Peachblossom Rd, Easton, Maryland 21601",4108220566
"Aldrich's Club Gymnastic, Inc.","106 S. Meadow Rd., Plymouth, Massachusetts 02360",
Berkshire Nautilus,"42 Summer Street, Pittsfield, Massachusetts 01201",
Boston Bouldering Project,"12A Tyler St, Somerville, Massachusetts 02143",6176236700
Boston University Fitness and Recreation Center,"915 Commonwealth Ave, Boston, Massachusetts 02215",6173532748
Carabiner's Climbing wall,"328 Parker Street, New Bedford, Massachusetts",5089840808
Central Branch YMCA,"776 Main St, Worcester, Massachusetts 01609",5087556101
Central Rock - Watertown,"74 Acton Street Watertown, Massachusetts 02472",6177440081
Central Rock Climbing Gym,"165 Russell St. , Hadley, Massachusetts 01035",4135847625
"Central Rock Climbing Gym, LLC","299 Barber Avenue, Worcester, Massachusetts 01606",508852ROCK
Central Rock Framingham,"1451 Concord St. Framingham, Massachusetts 01701",7747775637
Central Rock Gym,"74 Acton St, Watertown, Massachusetts 02472",6177440081
Central Rock Gym,"127 Smith Place, Cambridge, Massachusetts 02138",8572856997
Central Rock Gym - Arsenal Yards,"87 Arsenal Yards Blvd, Watertown, Massachusetts 02472",6177440876
Central Rock Gym - Boston,"99 Beverly St, Boston, Massachusetts 02114",6172271087
Central Rock gym - Cambridge,N/A,N/A
Central Rock Gym - Fenway,"771 Beacon St, David Ortiz Dr, Boston, Massachusetts 02215",8577534566
Central Rock Gym - Harvard Square,"20 Brattle St, Cambridge, Massachusetts 02138",6177143024
Central Rock Gym - Randolph,"445 High Street Randolph, Massachusetts 02368",7818852120
Central Rock Gym - Stoneham,"10 Adam Rd. Stoneham, Massachusetts 02180",7814382905
Central Rock Gym - Waltham,"411 Waverley Oaks Rd Suite 105, Waltham, Massachusetts 02452",7818940875
Dedham Health and Athletic,"200 Providence Hwy, Dedham, Massachusetts 02026",7813262900
Exxcel Gym,"88 Wells Ave, Newton, Massachusetts 02459",6172443300
Gleason Family YMCA,"33 Charge Pond Road, P.O. Box 466, Wareham, Massachusetts 02571",5082959622
Kilpatrick Athletic Center at Bard College at Simon's Rock,"84 Alford Rd., Great Barrington, Massachusetts 01230",4135287777
La Vida Rock Gym at Gordon College,"255 Grapevine Rd, Wenham Massachusetts 01984",9788674111
Latitude Sports Club,"194 Newbury St, Peabody, Massachusetts 01960",9785360777
Lighthouse Fitness,"430 Court Street, Plymouth, Massachusetts 02360",5087468770
Maplewood County Day Camp,"15 Aspen Hollow Drive (Mailing), North Easton, Massachusetts 02356",5082382387
MetroRock Boston,"69 Norman St, Unit 9, Everett, Massachusetts 02149",617387–ROC
MetroRock Littleton,"1200 Constitution Ave Littleton, Massachusetts 01460",9789907625
MetroRock Newburyport,"40 Parker St., Newburyport, Massachusetts 01950",9784997625
MIT Climbing Wall,"142 Memorial Drive, Cambridge, Massachusetts 02139",6172531000
Northhampton Athletic Club Rock Wallaby,"306 King St, Northhampton, Massachusetts 01060",4135858500
Rock Spot Climbing,"30 Old Colony Ave, Boston, Massachusetts 02127",6172692084
Rock Spot Climbing,"67 Sprague Street, Boston, Massachusetts 02136",6173334433
Rock Spot Climbing Brookline,"880R Commonwealth Ave Brookline, Massachusetts",
Rock Spot Climbing Malden,"Pleasant Street Malden, Massachusetts",
Sterling Gymnastics,"15 Industrial Drive, Sterling, Massachusetts 01564",9784227655
The El Dojo,"219 Pine St, Suite 234, Northampton, Massachusetts 01062",
The YMCA of Greater New Bedford,"25 South Water Street, New Bedford, Massachusetts 02740",
Willy's World Adventure,"4730 State Highway, Eastham, Massachusetts 02642",5082556370
WPI CAVE Bouldering Gym,"100 Institute Rd, Worcester, Massachusetts 01609",
Adventure Seminars at Central Michigan University,"Finch Field House, Mount Pleasant, Michigan 48859",9897747307
Alma College Climbing Wall,"614 W. Superior St., Alma, Michigan 48801",9894637949
Base Camp Challenge Center,"G-5081 Torrey Road, Flint, Michigan 48507",8104226030
Bear creek climbing,N/A,Grandrapid
Calvin university,"Calvin Climbing Center Grand Rapids, Michigan 49546-4406",6165267541
Climb Kalamazoo,"136 S Kalamazoo Mall, Kalamazoo, Michigan 49007",2693859891
Climbing Center,"Allendale Grand Valley State University, 215 Fieldhouse, Allendale, Michigan 49401",6163313226
Downriver Family YMCA,"16777 Northline Rd., Southgate, Michigan 48195",
DYNO Detroit,"3500 Orleans St, Detroit, Michigan 48207",3134440161
ELEV8,"777 Boyd Ave, Traverse City, Michigan 49686",
Ferris State University Climbing Wall,"401 South Street, Big Rapids, Michigan 49307",2315912679
Ford Community and Performing Arts Center,"15801 Michigan Avenue, Dearborn, Michigan 48126",3139432350
GT-ROCKS,"160 Hughes Dr., Traverse City, Michigan 49686",
Higher Ground,"851 Bond Street Nw,, Grand Rapids, Michigan 49503",6167743100
Inside Moves,"639 76Th St Sw. Suite #2, Byron Center, Grand Rapids, Michigan 49315",6162817088
Jackson YMCA,"127 West Wesley Av., Jackson, Michigan 49201",5177820537
Life Time Fitness,"40000 High Point Blvd, Novi, Michigan 48375",2487350100
Lifetime Fitness Climbing Wall,"1766 Haggerty Road N, Canton Township, Michigan 48188",7343942800
Lifetime Fitness Climbing Wall,"14843 Lakeside Boulevard, Shelby Township, Michigan 48315",5865321300
Livonia Community Recreation Center,"15100 Hubbard, Livonia, Michigan 48154",7344662912
MTU Climbing Wall,"500 Macinnes Dr, Houghton, Michigan 49931",9064872578
Northern Michigan University Wall,"1401 Presque Isle Ave, Marquette, Michigan 49855",9062272519
Peabody Ice Climbing,"12326 Foley Rd, Fenton, Michigan 48430",8104333304
Planet Rock Climbing Gym and Training Center,"1103 W 13 Mile Rd, Madison Heights, Michigan 48071",2483343904
Planet Rock Climbing Gym and Training Center,"82 Aprill Dr., Ann Arbor, Michigan 48103",7348272680
Rochester Hills Lifetime Fitness,"200 W. Avon Rd, Rochester Hills, Michigan 48307",2486019400
Scrapyard Climbing Collective,"76 S River Ave., Holland Michigan 49423",6162943931
Sherman Lake YMCA,"6225 North 39Th Street, Augusta, Michigan 49048",2697313000
Terra Firma Bouldering Co.,"1555 Marshall Ave Se, Grand Rapids, Michigan 49507",6162793169
True North Outpost,"W 5768 Old Piers Gorge Rd., Norway, Michigan",9062394971
Wayne State University Recreation and Fitness Center,"15331 Anthony Wayne Dr., Detroit, Michigan 48202",3135772348
Westside Community YMCA,"3700 Old Lansing Road, Lansing, Michigan , 48917",5173169622
WMU Climbing Wall,"2000 Student Recreation Center, 1903 West Michigan Ave., Kalamazoo, Michigan 49008",2693874REC
Albert Lea Rock Gym,"211 W. Richway Drive, Albert Lea, Minnesota 56007",5073795152
Bemidji State University,"1500 Birchmont Drive Ne, Bemidji, Minnesota 56601",2187554135
Climbing Wall - Sports and Health Center,"University Of Minnesota, 10 University Drive, Duluth, Minnesota 55812",2187267128
Dakotah Sport and Fitness,"2100 Trail Of Dreams, Prior Lake, Minnesota 55372",9524459400
Duluth Climbing and Fitness Cooperative,"22 N 1St Ave W, Duluth, Minnesota 55802",2182601897
Emma B. Howe YMCA,"8950 Springbrook Drive, Coon Rapids, Minnesota 55433",7637857882
Lake Geneva Christian Center,"605 Birch Ave, Alexandria, Minnesota 56308",3207633680
Lifetime Fitness Climbing Wall,"3600 Plymouth Boulevard, Plymouth, Minnesota 55446",7635090909
Midwest Mountaineering,"309 Cedar Ave. South, Minneapolis, Minnesota 55454",6123393433
Minneapolis Bouldering Project,"1433 W. River Rd N. Minneapolis, Minnesota 55411",6123082800
Minnesota Climbing Cooperative,"1620 Central Ave Suite 178, Minneapolis, Mn",
"Minnesota State University, Mankato Climbing Wall","118 Myers Field House Mankato, Minnesota 56001",5073896118
Monticello Community Center,"505 Walnut Street, Monticello, Minnesota 55362",
Prairie Walls,"4420 19Th St Nw, Rochester, Minnesota 55901",5072920511
REI Pinnacle,"750 W. American Blvd, Bloomington, Minnesota 55420",9528844315
Roca Climbing & Fitness,"6071 Rome Circle Nw, Rochester, Minnesota 55901",5072726059
Shamineau Adventures,"2345 Ridge Road, Motley, Minnesota, 56466",2185752240
Southdale YMCA,"7355 York Ave S, Edina, Minnesota 55435",9528352567
The A,"575 9Th Street Se, Suite #60 Minneapolis, Minnesota, 55414",
University of Minnesota Center for Outdoor Adventure,"123 Se Harvard St, Minneapolis, Minnesota 55455",6126258790
University of Minnesota RecWell,"123 Harvard Street Se, Minneapolis, Minnesota 55455",6126258790
University of Minnesota wall,"1536 N Cleveland Ave, St Paul, Minnesota 55108",6126258790
Vertical Endeavors Bloomington,"9601 James Avenue South Minneapolis, Minnesota 55431",9528811110
Vertical Endeavors Minneapolis,"2540 Nicollet Ave South, Minneapolis, Minnesota 55404",6124361470
Vertical Endeavors St. Paul,"845 Phalen Blvd, St Paul, Minnesota 55106",6517761430
Vertical Endeavors Twin Cities Bouldering,"2550 Wabash Avenue Saint Paul, Minnesota 55114",6513308661
Vertical Endevours Duluth,"329 South Lake Ave, Duluth, Minnesota 55805",2182799980
Winona State University Wall (Wabasha Rec Center),"351 Lafayette Street Winona, Minnesota 55987",5074572940
Core Cycle & Outdoor,"1697 N Coley Rd, Tupelo, Mississippi 38801",6622605266
Edgewater Mall,"2600 Beach Blvd., Suite 938, Biloxi, Mississippi 39531",2283882234
Joe Frank Sanderson Center MSU,"Lakeview Drive, Mississippi State, Mississippi 39762",6623257529
Payne Center,"118 College Drive, Hattiesburg, Mississippi 39406-0001",6012661000
The Hangout,"125 Dyess Rd, Ridgeland, Mississippi 39157",6019779000
Climb So Ill,"1419 Carroll Street St. Louis, Missouri 63104",3146211700
Climb So Ill,"650 N Main Center Suite 105, St Charles, Missouri 63301",6964931675
CoMo Rocks,"23 Lindell Dr Columbia, Missouri 65203-2414",
Firley YMCA,"Firley Center, 525 Ellis Blvd, Jefferson City, Missouri 65101",5737619021
IBEX Climbing Gym,"801 Nw South Outer Road, Blue Springs, Missouri 64015",8162289988
Lifetime Fitness,"3058 Clarkson Rd, Ellisville, Missouri 63017",6362270200
Missouri State University Rec Center,"945 E Madison St, Springfield, Missouri 65807",4178365904
North Kansas City YMCA,"1999 Iron Street, North Kansas City, Missouri. 64116",8163000531
Rock ON,"1221 Independence Dr, West Plains, Missouri 65775",
RoKC Climbing Gym,"1501 Howell St. North Kcmo, Missouri 64116",816THEROKC
ROKC Underground,"3150 Mercier St #641A, Kansas City, Missouri 64111",8166212020
Sequence Climbing,"1710 Washington St, Kansas City, Missouri 64108",8169443936
